ds,Open,Volume,Close,Close_Lag1,MA7
2021-06-21,4248.610560962117,20.908878119065967,4244.68076939478,4238.314211731629,4238.150766404047
2021-06-22,4249.471486924798,24.186075054174957,4244.398272627055,4244.68076939478,4238.690888768818
2021-06-23,4251.418556993488,18.14524879230434,4247.053650552583,4244.398272627055,4239.93245136571
2021-06-24,4251.789129339044,22.110923612353844,4245.857736385835,4247.053650552583,4241.390013619106
2021-06-25,4253.374712477935,21.37697484012819,4252.324964941605,4245.857736385835,4243.694449136459
2021-06-28,4267.453929610623,20.203866977091177,4260.377059652469,4252.324964941605,4247.572380755137
2021-06-29,4268.028574373367,23.120741957122096,4259.825902435704,4260.377059652469,4250.645479427148
2021-06-30,4269.229205345143,16.70730176571189,4261.819170843349,4259.825902435704,4253.093822491229
2021-07-01,4268.419848883895,20.299637711363545,4259.595498599977,4261.819170843349,4255.264854773074
2021-07-02,4268.4292677419735,19.203783092978853,4264.705956010243,4259.595498599977,4257.786612695598
2021-07-05,4275.911269378543,17.13646665528027,4267.189499275903,4264.705956010243,4260.834007394179
2021-07-06,4273.869088562941,19.85792399176688,4264.4683934486175,4267.189499275903,4262.56878289518
2021-07-07,4272.358609471767,13.317446352319909,4264.235786048083,4264.4683934486175,4263.120029523126
2021-07-08,4268.815992037846,16.859233479605304,4259.792296049017,4264.235786048083,4263.115228610741
2021-07-09,4266.141710489335,15.795597436943138,4262.749564994505,4259.792296049017,4263.2481420609065
2021-07-12,4266.541316722847,14.352330678335708,4259.724260031383,4262.749564994505,4263.2665365511075
2021-07-13,4262.657559988652,17.4562285848375,4255.639110681327,4259.724260031383,4261.971272932691
2021-07-14,4259.644204839094,11.378714480948748,4254.337863962446,4255.639110681327,4260.135325030768
2021-07-15,4254.97082325153,15.456453566674991,4249.143746521666,4254.337863962446,4257.94608975549
2021-07-16,4251.560695298925,14.992056200000164,4251.681538163398,4249.143746521666,4256.152625771962
2021-07-19,4252.182930567439,15.60162103061817,4249.371090010498,4251.681538163398,4254.663882052175
2021-07-20,4249.14800944681,19.426250259175134,4246.130698506818,4249.371090010498,4252.289758268219
2021-07-22,4244.1483185500665,18.826579777453215,4242.054401784745,4246.130698506818,4249.765492804414
2021-07-23,4242.487688522569,19.008985551097403,4246.082567835081,4242.054401784745,4248.400272397807
2021-07-26,4249.318965467305,21.165117992558194,4248.773969037063,4246.082567835081,4247.60543026561
2021-07-27,4248.468547257497,25.33157329354968,4247.202420336386,4248.773969037063,4247.328097953427
2021-07-28,4248.784590480968,20.20502148504358,4248.5857454824745,4247.202420336386,4246.885841856152
2021-07-29,4247.635991405943,25.099311364457044,4246.160578631238,4248.5857454824745,4246.4271973734
2021-07-30,4247.841732271142,25.29710427673242,4251.4641909166,4246.160578631238,4247.1891248605125
2021-08-02,4258.823649632232,26.821456995263,4256.5974065527535,4251.4641909166,4249.266696970228
2021-08-03,4258.757698673995,30.565911254319545,4255.305473738662,4256.5974065527535,4250.584254956454
2021-08-04,4259.523479413431,24.925377680637517,4256.685738172744,4255.305473738662,4251.714507690122
2021-08-05,4258.483653983728,29.225387807776833,4253.978532454885,4256.685738172744,4252.682523707051
